price,amount,amount_0,amount_1,amount_1_adj
4354.581123462153,19791.276702733627,0.0,6.134924970096492,19791.276702733627
4350.228936400612,20024.846167749773,0.0,6.207327128112994,20024.846167749773
4345.8810991333885,20034.86059351782,0.0,6.210431412471622,20034.86059351782
4341.5376073130765,20057.30823297499,0.0,6.2173897601261965,20057.30823297499
4337.19845659662,20067.338893023396,0.0,6.220499076807572,20067.338893023396
4332.863642645301,20426.958159494396,0.0,6.331974311616248,20426.958159494396
4328.53316112474,20437.173681473763,0.0,6.3351409320326635,20437.173681473763
4324.207007704887,20365.564648373944,0.0,6.31294347343274,20365.564648373944
4319.88517806002,20375.74946745902,0.0,6.316100576527171,20375.74946745902
4315.567667868742,20385.939379970496,0.0,6.319259258488357,20385.939379970496
4311.254472813975,21206.005230456667,0.0,6.573464307451981,21206.005230456667
4306.945588582954,21216.61035387852,0.0,6.576751697016026,21216.61035387852
4302.641010867224,21271.326324805512,0.0,6.59371262284941,21271.326324805512
4298.34073536264,21281.964115313647,0.0,6.597010138598155,21281.964115313647
4294.044757769354,21292.607225779324,0.0,6.600309303434063,21292.607225779324
4289.75307379182,21303.25565886316,0.0,6.603610118181875,21303.25565886316
4285.46567913878,21313.909417235936,0.0,6.6069125836694855,21313.909417235936
4281.182569523269,21324.56850354305,0.0,6.610216700716917,21324.56850354305
4276.903740662606,21335.232920470513,0.0,6.613522470156782,21335.232920470513
4272.629188278388,21345.902670663716,0.0,6.616829892809102,21345.902670663716
4268.35890809649,21356.577756808678,0.0,6.6201389695064945,21356.577756808678
4264.0928958470595,21367.25818155079,0.0,6.623449701068981,21367.25818155079
4259.83114726451,97944.44863443008,0.0,30.360943997448274,97944.44863443008
4255.573658087519,98370.03847378229,0.0,30.492868873830837,98370.03847378229
4251.320424059022,98837.20761487613,0.0,30.637682554726887,98837.20761487613
4247.07144092621,98889.03950117592,0.0,30.653749468361816,98889.03950117592
4242.826704440525,98938.49391083555,0.0,30.669079408782505,98938.49391083555
4238.586210357653,98987.97305263422,0.0,30.684417015702913,98987.97305263422
4234.349954437525,99037.47693895469,0.0,30.69976229296147,99037.47693895469
4230.117932444309,99087.00558213278,0.0,30.71511524438205,99087.00558213278
4225.8901401464045,99136.55899464512,0.0,30.730475873832166,99136.55899464512
4221.666573316442,99186.1371887806,0.0,30.745844185121154,99186.1371887806
4217.447227731277,99235.74017696892,0.0,30.761220182101976,99235.74017696892
4213.2320991719835,99288.65404104764,0.0,30.77762248857653,99288.65404104764
4209.021183423857,99338.30829790012,0.0,30.793014377882674,99338.30829790012
4204.814476276401,99387.98738689277,0.0,30.808413964687023,99387.98738689277
4200.611973523328,107937.09466781716,0.0,33.45847704639476,107937.09466781716
4196.413670962556,107996.48090109667,0.0,33.47688566605577,107996.48090109667
4192.219564396202,108050.48994226473,0.0,33.49362745690887,108050.48994226473
4188.029649630578,108104.52599336334,0.0,33.510377620334374,108104.52599336334
4183.843922476189,108168.0653637072,0.0,33.5300736346725,108168.0653637072
4179.662378747724,108222.160214293,0.0,33.546842024837375,108222.160214293
4175.485014264057,108276.28211770988,0.0,33.56361880087302,108276.28211770988
4171.311824848243,108330.43108747764,0.0,33.58040396697034,108330.43108747764
4167.142806327509,108375.11187068724,0.0,33.59425417262979,108375.11187068724
4162.977954533252,108429.31026523538,0.0,33.611054659483,108429.31026523538
4158.817265301036,108483.53576439562,0.0,33.627863548258134,108483.53576439562
4154.660734470589,108537.78983963653,0.0,33.644681295082876,108537.78983963653
4150.508357885795,108592.0660771428,0.0,33.66150591179464,108592.0660771428
4146.360131394691,108669.90124476538,0.0,33.685633355444274,108669.90124476538
4142.216050849466,108826.92657585454,0.0,33.734308266068076,108826.92657585454
4138.076112106453,108881.35092293969,0.0,33.75117879397433,108881.35092293969
4133.940311026128,108935.80248762136,0.0,33.76805775882556,108935.80248762136
4129.808643473102,108990.28128353588,0.0,33.78494516484877,108990.28128353588
4125.681105316121,109094.60703806813,0.0,33.81728419411492,109094.60703806813
4121.5576924280585,109149.16525214563,0.0,33.83419621828068,109149.16525214563
4117.438400685914,109203.75075077385,0.0,33.851116700145965,109203.75075077385
4113.323225970807,109258.36354759532,0.0,33.8680456439397,109258.36354759532
4109.212164167973,109313.00365632908,0.0,33.88498305391453,109313.00365632908
4105.105211166762,109367.6712187444,0.0,33.90192897401628,109367.6712187444
4101.002362860633,110707.6195148656,0.0,34.31728784065153,110707.6195148656
4096.903615147145,110762.9843964785,0.0,34.33444991663961,110762.9843964785
4092.808963927961,110952.35930961197,0.0,34.39315259159802,110952.35930961197
4088.718405108838,111007.84656947621,0.0,34.41035260255114,111007.84656947621
4084.631934599627,111331.43756962135,0.0,34.51065974982147,111331.43756962135
4080.5495483142645,120122.1265540552,0.0,37.235608633361984,120122.1265540552
4076.471242170773,120182.19963072574,0.0,37.25423016160557,120182.19963072574
4072.3970120912536,120263.52801849517,0.0,37.279440438052035,120263.52801849517
4068.326854001883,121124.95141601964,0.0,37.546465551725895,121124.95141601964
4064.2607638329105,121154.33797356501,0.0,37.555574833980806,121154.33797356501
4060.1987375186513,121291.63450066581,0.0,37.598134185005485,121291.63450066581
4056.1407709974847,121352.29244830909,0.0,37.61693701229253,121352.29244830909
4052.0868602118508,147886.83508925227,0.0,45.84214808195171,147886.83508925227
4048.0370011082427,148379.32874235272,0.0,45.994811887091814,148379.32874235272
4043.9911896372073,158208.18794387058,0.0,49.041574086855604,158208.18794387058
4039.949421753336,158287.30786025114,0.0,49.06609977854926,158287.30786025114
